Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,403.51001,406.280006,403.490009,405.000004,44915500,53.25663
2011-12-29,403.399994,405.650005,400.509995,405.120007,53994500,53.27241
2011-12-28,406.890007,408.250011,401.34,402.640003,57165500,52.946295
2011-12-27,403.099987,409.090004,403.020012,406.529999,66269000,53.457821
2011-12-23,399.690002,403.590012,399.489998,403.330006,67349800,53.037029
2011-12-22,397.000008,399.12999,396.099987,398.550003,50589700,52.408469
2011-12-21,396.689987,397.299988,392.009987,396.450008,65737000,52.132324
2011-12-20,387.76001,396.099987,387.259998,395.949997,84303800,52.066574
2011-12-19,382.470009,384.85001,380.480003,382.210003,58882600,50.259794
2011-12-16,380.360001,384.149994,379.569996,381.019989,105369600,50.10331
2011-12-15,383.330002,383.739998,378.309994,378.939995,64050000,49.829795
2011-12-14,386.700012,387.380001,377.679993,380.19001,101721900,49.994169
2011-12-13,392.999996,395.399998,387.099995,388.809994,84732200,51.127679
2011-12-12,391.679993,393.89999,389.450008,391.839996,75266800,51.526118
2011-12-09,392.850006,394.039993,391.029991,393.62001,74248300,51.760186
2011-12-08,391.450001,395.50,390.23,390.659996,94089100,51.37095
2011-12-07,389.929993,390.940002,386.759987,389.09,76186600,51.164499
2011-12-06,392.509998,394.629993,389.379993,390.949989,70899500,51.409084
2011-12-05,393.489994,396.410007,390.390003,393.01001,89302500,51.679972
2011-12-02,389.82999,393.629997,388.580002,389.700001,94763900,51.244713
2011-12-01,382.539997,389.000011,380.749996,387.93,96795300,51.011962
